brand,model,year,mileage,fuel_type,engine,transmission,price
Toyota,Highlander XLE,2021,67039,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,34645
Mazda,CX-30 Premium Package,2023,2636,Gasoline,2.5L I4 16V,6-Speed Automatic,28535
Tesla,Model 3 Standard Range Plus,2021,21600,,271.0HP Electric Motor Electric Fuel System,A/T,31000
Ferrari,Roma Base,2021,3000,Gasoline,611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,275000
Audi,SQ7 4.0T,2022,28927,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Automatic,74900
Mercedes-Benz,AMG GLS 63 4MATIC,2022,4102,Hybrid,603.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,144664
Honda,Ridgeline RTL-E,2021,14442,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,38500
Maserati,Ghibli S Q4 GranSport,2020,25721,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,52645
Land Rover,Discovery Sport SE R-Dynamic,2020,20927,Gasoline,2.0 Liter,Automatic,35998
Aston Martin Martin Martin,DBX Base,2021,2353,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,159500
Audi,Q3 45 S line Premium,2022,9325,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,33610
Ford,Explorer XLT,2020,61001,Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,28616
Subaru,BRZ Premium,2023,5800,Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,29990
Kia,Stinger GT2,2020,57000,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,36500
Chevrolet,Bolt EUV Premier,2022,7624,,Electric,1-Speed Automatic,31985
Kia,Sportage X-Pro,2023,459,Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,36998
Mercedes-Benz,AMG E 53 4MATIC,2020,8375,Gasoline,"AMG 3L I-6 gasoline direct injection, DOHC, variable valve contr","Automatic, 9-Spd 9G-Tronic",69900
BMW,M550 i xDrive,2020,40000,Gasoline,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,53000
Mazda,Mazda6 Grand Touring,2020,35902,Gasoline,2.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,22966
Bentley,Bentayga S,2023,2600,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,239995
Land Rover,Defender X-Dynamic SE,2023,6204,Hybrid,3.0 Liter,Automatic,79998
Kia,Telluride SX,2020,69185,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,37405
BMW,540 i xDrive,2020,37426,Gasoline,2.0 Liter Turbo,Automatic,39998
Chevrolet,Corvette Stingray w/1LT,2023,4000,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,73900
Audi,Q5 S line Premium Plus,2023,4648,Hybrid,2.0 Liter TFSI,Automatic,47598
Alfa Romeo,Stelvio Ti,2020,41000,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,32400
RAM,1500 Big Horn,2021,70968,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,34000
Tesla,Model X Long Range,2022,15443,,670.0HP Electric Motor Electric Fuel System,1-Speed A/T,84500
BMW,X6 xDrive40i,2020,45076,Gasoline,3.0 Liter Turbo,Automatic,57998
Land Rover,Range Rover Autobiography,2023,324,Gasoline,4.4 Liter,Automatic,199998
BMW,X1 xDrive28i,2020,18200,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,29500
Toyota,Tundra Hybrid TRD Pro,2022,7000,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,75500
Audi,SQ5 3.0T Premium Plus,2022,8497,Gasoline,3.0L V6 24V GDI DOHC Turbo,Automatic,52900
Lamborghini,Huracan EVO Base,2022,2523,Gasoline,5.2L V10 40V GDI DOHC,7-Speed Manual,288900
Cadillac,Escalade Sport Platinum,2021,15689,Diesel,3.0L I6 24V DDI DOHC Turbo Diesel,10-Speed Automatic,97952
Kia,Telluride SX,2023,9822,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,50998
GMC,Acadia SLE,2020,30900,Gasoline,2.5L I4 16V GDI DOHC,9-Speed Automatic,27654
BMW,X3 xDrive30i,2021,2492,Gasoline,2.0 Liter Turbo,Automatic,41598
Hyundai,Santa Fe SEL,2022,26895,Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,29800
Toyota,Tundra Hybrid TRD Pro,2022,19000,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,71000
Ford,Mustang Mach-E Select,2023,923,,Standard Range Battery,Automatic,46998
Volkswagen,Arteon 2.0T SE,2021,13613,Gasoline,2.0 Liter TSI,Automatic,29798
Lexus,LX 600 F SPORT,2023,1185,Gasoline,409.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,120990
Rivian,R1S Adventure Package,2023,5700,,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,95000
Ford,Transit Connect XL,2020,119000,Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,18000
Land Rover,Range Rover Velar SVAutobiography Dynamic Edition,2020,36500,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,72000
BMW,X7 xDrive40i,2023,2437,Hybrid,375.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,78350
Dodge,Durango GT,2021,14684,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,37995
Audi,RS Q8 4.0T,2020,41856,Gasoline,591.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,91500
Rivian,R1S Adventure Package,2023,655,,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,94500
Land Rover,Range Rover Evoque SE,2020,38356,Gasoline,2.0 Liter,Automatic,36598
Alfa Romeo,Stelvio Ti Sport,2020,21487,Gasoline,2.0L I4 16V GDI SOHC Turbo,8-Speed Automatic,35345
McLaren,570S Spider,2020,8700,Gasoline,562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,185000
Jeep,Wagoneer Series II 4x4,2022,29800,Gasoline,"HEMI 5.7L V-8 variable valve control, regular unleaded, engine w","Automatic, 8-Spd",58900
Mercedes-Benz,GLS 450 Base,2022,41545,Hybrid,3.0 Liter DOHC Twin Turbo,Automatic,71998
Mercedes-Benz,S-Class S 580 4MATIC,2021,4700,Hybrid,496.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,99900
Ford,F-250 King Ranch,2021,44000,Diesel,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,73000
Volkswagen,Tiguan 2.0T SE,2022,11000,Gasoline,184.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,27900
BMW,M3 CS,2024,456,Gasoline,543.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,128995
Land Rover,Defender X,2023,5433,Hybrid,3.0 Liter,Automatic,95998
Rolls-Royce,Ghost Base,2021,850,Gasoline,563.0HP 6.7L 12 Cylinder Engine Gasoline Fuel,A/T,314900
Kia,EV6 Wind,2022,11945,,111.2Ah / FR 70kW / RR 160kW (697V),Automatic,38998
BMW,X5 M Base,2023,4348,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,105900
Volvo,V60 Cross Country T5,2020,10500,Gasoline,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,36000
Ford,Bronco Sport Outer Banks,2021,15198,Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,31621
Land Rover,Range Rover Evoque R-Dynamic HSE,2020,30424,Hybrid,2.0 Liter,Automatic,44998
RAM,1500 Laramie,2021,38012,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,45277
Rivian,R1S Adventure Package,2023,2500,,835.0HP Electric Motor Electric Fuel System,A/T,91000
BMW,M760 i xDrive,2021,11078,Gasoline,"6.6L V-12 gasoline direct injection, DOHC, variable valve contro","Automatic, 8-Spd Sport w/Sport & Manual Modes",91900
Acura,MDX w/Technology Package,2023,3415,Gasoline,3.5 Liter SOHC,F,54998
RAM,1500 Limited,2020,44362,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,50658
Audi,A8 4.0,2020,35999,Hybrid,4.0 Liter Turbo,Automatic,59598
Cadillac,Escalade ESV Sport,2021,8044,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,93000
Rolls-Royce,Cullinan,2022,115,Gasoline,6.7L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,449995
Acura,RDX Technology Package,2020,31015,Gasoline,2.0L I4 16V GDI DOHC Turbo,10-Speed Automatic,36570
BMW,X2 xDrive28i,2022,33000,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,29999
Mercedes-Benz,AMG S 63 Base 4MATIC,2020,20937,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,104900
RAM,2500 Tradesman,2021,34365,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,48000
Land Rover,Range Rover Evoque S,2020,40237,Gasoline,2.0 Liter,Automatic,36998
Volvo,XC90 T6 Inscription,2020,22500,Gasoline,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,50000
Ford,Expedition King Ranch,2020,58700,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,48999
Ford,Transit-350 Base,2023,195,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,87500
Chevrolet,Bolt EUV Premier,2022,14676,,200.0HP Electric Motor Electric Fuel System,A/T,33000
Jeep,Wrangler Unlimited 4xe Sahara,2021,33704,Hybrid,2.0L I4 16V GDI DOHC Turbo Hybrid,8-Speed Automatic,42998
BMW,X7 xDrive40i,2023,2950,Hybrid,375.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,87000
Mercedes-Benz,AMG GT 53 Base,2021,17994,Gasoline,3.0L I6 24V GDI DOHC Turbo,9-Speed Automatic,87500
Toyota,Tundra Limited,2020,44101,Gasoline,5.7L V8 32V MPFI DOHC,6-Speed Automatic,45423
BMW,X1 xDrive28i,2021,25918,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,32000
Volvo,XC90 Hybrid T8 Inscription,2020,44487,Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,65000
Acura,TLX A-Spec,2021,16878,Gasoline,2.0L I4 16V GDI DOHC Turbo,10-Speed Automatic,38781
Acura,MDX w/Technology Package,2022,30177,Gasoline,3.5L 24V SOHC I-VTEC V6,2,46598
Chevrolet,Tahoe High Country,2021,53000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,67100
Tesla,Model Y Long Range,2021,61308,,425.0HP Electric Motor Electric Fuel System,A/T,42000
Chevrolet,Traverse LS,2022,32117,Gasoline,3.6L V6 24V GDI DOHC,Automatic,33299
BMW,430 i xDrive,2021,16900,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,43000
Ford,Expedition Max King Ranch,2021,37594,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,62595
Rivian,R1S Adventure Package,2023,250,,835.0HP Electric Motor Electric Fuel System,A/T,94000
Mercedes-Benz,GLC 300 GLC 300,2021,12771,Gasoline,2.0 Liter Turbo,Automatic,42598
Tesla,Model Y Long Range,2021,69548,,425.0HP Electric Motor Electric Fuel System,1-Speed A/T,36300
Nissan,NV Passenger NV3500 HD SL V8,2020,14353,Gasoline,375.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,63900
Ford,Transit Connect XL w/Rear Symmetrical Doors,2022,22985,Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,33500
Land Rover,Range Rover Velar P250 S R-Dynamic,2020,29500,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,45000
Buick,Encore GX Essence,2022,18185,Gasoline,1.3L I3 12V GDI DOHC Turbo,Automatic CVT,31755
Jeep,Grand Wagoneer Series III,2022,18428,Gasoline,6.4 Liter,Automatic,83998
Nissan,Z Proto Spec,2023,535,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,65990
Cadillac,Escalade ESV Sport,2021,36500,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,85000
Jeep,Wrangler Unlimited Sahara,2020,68816,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,35297
Tesla,Model 3 Long Range,2022,3077,,Dual Motor - Standard,Automatic,44998
Mazda,CX-90 Premium,2024,3880,Gasoline,2.5L,8-Speed Automatic,52991
Hyundai,Santa Fe SE,2021,35550,Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,25987
BMW,M2 Base,2023,1160,Gasoline,453.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,73600
Ford,Bronco Sport Big Bend,2021,31729,Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,29614
Jeep,Gladiator Overland,2021,7388,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,43663
Genesis,G70 3.3T,2022,12000,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,41000
Lexus,LX 570 Three-Row,2021,14206,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,98000
Jeep,Grand Cherokee L Limited,2022,31700,Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,43500
Hyundai,IONIQ Plug-In Hybrid SEL,2022,13044,Plug-In Hybrid,139.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,A/T,24999
BMW,X5 PHEV xDrive45e,2023,5338,Plug-In Hybrid,389.0HP 3.0L Straight 6 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,76500
Mercedes-Benz,GLA 250 Base 4MATIC,2022,13777,Gasoline,221.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,39777
RAM,1500 Big Horn,2022,14920,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,41741
Jeep,Grand Cherokee L Summit,2022,14627,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,56740
Audi,RS 7 4.0T,2021,14724,Hybrid,4.0 Liter TFSI,Automatic,101998
Jeep,Grand Cherokee WK Laredo X,2022,11164,Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,37500
BMW,M4 Base,2020,22655,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,63999
Chevrolet,Camaro 1LT,2021,10300,Gasoline,335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,M/T,29900
RAM,1500 TRX,2022,24058,Gasoline,"HEMI 6.2L V-8 intercooled supercharger, premium unleaded, engine","Automatic, 8-Spd",81900
Porsche,Macan S,2020,19701,Gasoline,3.0 Liter,Automatic,55998
Genesis,GV70 3.5T Sport,2022,10200,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,50500
